freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.152e+02,7.170e+00,2.241e+01,8.448e+02
1.6,4.608e+02,1.500e+01,3.278e+01,5.086e+02
3.1,2.235e+01,1.554e+01,2.688e+01,6.477e+01
4.7,3.398e+02,1.546e+01,2.782e+01,3.831e+02
6.2,1.216e+03,1.491e+01,2.826e+01,1.259e+03
7.8,2.070e+03,1.501e+01,2.731e+01,2.113e+03
9.3,3.320e+03,1.527e+01,2.533e+01,3.361e+03
10.9,4.595e+03,1.600e+01,3.048e+01,4.642e+03
12.4,3.992e+03,1.683e+01,3.242e+01,4.041e+03
14.0,4.376e+03,1.578e+01,2.536e+01,4.417e+03
15.5,5.873e+03,1.557e+01,2.726e+01,5.916e+03
17.1,7.529e+03,1.495e+01,2.961e+01,7.574e+03
18.6,9.289e+03,1.794e+01,3.053e+01,9.337e+03
20.2,1.142e+04,2.531e+01,3.213e+01,1.148e+04
21.7,1.415e+04,2.494e+01,3.556e+01,1.421e+04
23.3,1.723e+04,2.147e+01,4.280e+01,1.730e+04
24.8,2.010e+04,2.076e+01,4.759e+01,2.017e+04
26.4,2.321e+04,2.121e+01,4.583e+01,2.328e+04
27.9,2.685e+04,2.443e+01,4.271e+01,2.692e+04
29.5,3.026e+04,3.434e+01,5.213e+01,3.034e+04
31.0,3.401e+04,3.069e+01,6.238e+01,3.410e+04
32.6,3.913e+04,2.262e+01,7.860e+01,3.924e+04
34.1,4.471e+04,1.973e+01,1.648e+02,4.489e+04
35.7,5.109e+04,1.765e+01,2.922e+02,5.140e+04
37.3,5.851e+04,1.673e+01,3.681e+02,5.889e+04
38.8,6.705e+04,1.750e+01,4.960e+02,6.756e+04
40.4,7.796e+04,2.374e+01,6.983e+02,7.868e+04
41.9,8.997e+04,3.672e+01,9.551e+02,9.096e+04
43.5,1.015e+05,5.264e+01,1.225e+03,1.028e+05
45.0,1.142e+05,5.515e+01,1.537e+03,1.158e+05
46.6,1.309e+05,4.060e+01,2.171e+03,1.331e+05
48.1,1.529e+05,2.813e+01,3.408e+03,1.564e+05
49.7,1.822e+05,3.842e+01,5.987e+03,1.882e+05
51.2,2.195e+05,7.425e+01,8.508e+03,2.281e+05
52.8,2.661e+05,1.243e+02,1.134e+04,2.776e+05
54.3,3.242e+05,3.032e+02,2.134e+04,3.459e+05
55.9,4.028e+05,9.803e+02,4.693e+04,4.508e+05
