freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.049e+01,2.271e+02,8.018e+02,1.039e+03
1.5,2.298e+01,1.467e+02,4.841e+02,6.538e+02
3.0,2.455e+01,2.450e+01,5.841e+01,1.075e+02
4.6,2.422e+01,2.803e+01,3.567e+02,4.089e+02
6.1,2.317e+01,2.715e+01,1.286e+03,1.336e+03
7.6,2.259e+01,2.996e+01,2.163e+03,2.215e+03
9.1,2.384e+01,3.271e+01,3.270e+03,3.326e+03
10.6,2.400e+01,3.435e+01,5.127e+03,5.185e+03
12.2,2.619e+01,4.083e+01,6.454e+03,6.521e+03
13.7,2.433e+01,4.075e+01,4.742e+03,4.807e+03
15.2,2.375e+01,4.057e+01,5.273e+03,5.337e+03
16.7,2.391e+01,3.662e+01,7.606e+03,7.666e+03
18.2,2.594e+01,3.507e+01,1.009e+04,1.015e+04
19.8,2.540e+01,4.157e+01,1.294e+04,1.301e+04
21.3,2.402e+01,7.268e+01,1.638e+04,1.648e+04
22.8,2.498e+01,1.031e+02,2.070e+04,2.083e+04
24.3,2.665e+01,1.072e+02,2.605e+04,2.618e+04
25.9,2.724e+01,1.146e+02,3.177e+04,3.191e+04
27.4,2.769e+01,1.406e+02,3.892e+04,3.909e+04
28.9,3.059e+01,1.815e+02,4.756e+04,4.777e+04
30.4,3.186e+01,2.468e+02,5.859e+04,5.887e+04
31.9,2.887e+01,3.650e+02,7.315e+04,7.354e+04
33.5,2.792e+01,5.164e+02,9.260e+04,9.314e+04
35.0,2.666e+01,7.533e+02,1.191e+05,1.199e+05
36.5,2.794e+01,1.152e+03,1.551e+05,1.562e+05
38.0,3.295e+01,1.816e+03,2.045e+05,2.063e+05
39.5,3.499e+01,3.128e+03,2.840e+05,2.872e+05
41.1,4.648e+01,5.949e+03,4.180e+05,4.240e+05
42.6,5.940e+01,8.318e+03,5.316e+05,5.400e+05
44.1,7.690e+01,1.209e+04,7.649e+05,7.770e+05
45.6,2.074e+02,3.067e+04,1.614e+06,1.645e+06
47.1,8.148e+02,7.501e+04,3.373e+06,3.448e+06
48.7,2.204e+03,1.076e+05,4.333e+06,4.443e+06
50.2,2.253e+03,8.339e+04,3.096e+06,3.182e+06
51.7,1.234e+03,5.133e+04,1.790e+06,1.843e+06
53.2,6.783e+02,3.378e+04,1.110e+06,1.145e+06
54.7,4.442e+02,2.567e+04,7.798e+05,8.059e+05
56.3,2.966e+02,2.143e+04,6.011e+05,6.228e+05
57.8,1.480e+02,1.776e+04,4.763e+05,4.942e+05
59.3,7.911e+01,1.486e+04,3.841e+05,3.990e+05
60.8,8.774e+01,1.288e+04,3.153e+05,3.283e+05
62.3,1.204e+02,1.287e+04,2.653e+05,2.783e+05
63.9,1.242e+02,1.633e+04,2.273e+05,2.438e+05
65.4,1.114e+02,2.769e+04,1.997e+05,2.275e+05
66.9,2.722e+02,5.576e+04,1.991e+05,2.551e+05
68.4,7.162e+02,1.020e+05,2.268e+05,3.295e+05
70.0,1.354e+03,1.522e+05,2.703e+05,4.239e+05
71.5,2.141e+03,1.853e+05,2.999e+05,4.874e+05
73.0,2.352e+03,1.970e+05,2.985e+05,4.979e+05
74.5,1.409e+03,1.995e+05,2.783e+05,4.793e+05
76.0,8.113e+02,2.118e+05,2.633e+05,4.759e+05
77.6,1.600e+03,2.364e+05,2.494e+05,4.874e+05
79.1,3.514e+03,2.639e+05,2.367e+05,5.041e+05
80.6,8.139e+03,2.823e+05,2.261e+05,5.166e+05
82.1,1.992e+04,2.977e+05,2.205e+05,5.381e+05
83.6,3.732e+04,3.012e+05,2.088e+05,5.474e+05
